* モンスター（以前の形式）  [#de0cefec]

- パラメータについては各モンスターの詳細ページを参照してださい。
- 関連ページ
-- [[モンスター図鑑/最大値]]
-- [[入手方法]]
-- [[覚醒スキル]]

&color(,#eee){ページ内リンク};
[[001>#no001]] - [[101>#no101]] - [[201>#no201]] - [[301>#no301]] - [[401>#no401]] - [[501>#no501]] - [[601>#no601]] - [[701>#no701]] - [[801>#no801]] - [[901>#no901]] - [[1001>#no1001]] - [[1101>#no1101]] - [[1201>#no1201]] - [[1301>#no1301]] - [[1401>#no1401]] - [[1501>#no1501]] - [[1601>#no1601]] - [[1701>#no1701]] - [[1801>#no1801]] - [[1901>#no1901]] - [[2001>#no2001]] - [[2101>#no2101]] - [[2201>#no2201]] - [[2301>#no2301]]

#style(class=enableFilter){{
|~No|~名称			|~☆|~タイプ|~属|~CO|~スキル|~リーダースキル|~最大Lv|h
|1447|[[黄金聖闘士・獅子座のアイオリア>モンスター図鑑/1447]]	|4|攻撃|BGCOLOR(#f1f1a6):光光|18|ドロップ強化・光|ライトニングボルト!!|70(300)|
|1448|[[黄金聖闘士・シャカ>モンスター図鑑/1448]]	|3|バランス|BGCOLOR(#f1f1a6):光|8|なし|それが天罰というものだ|25(150)|
|1449|[[黄金聖闘士・乙女座のシャカ>モンスター図鑑/1449]]	|4|バランス|BGCOLOR(#f1f1a6):光光|18|ハイヒール|天舞宝輪!!|70(300)|
|1450|[[黄金聖闘士・ミロ>モンスター図鑑/1450]]	|3|攻撃|BGCOLOR(#f1bba6):火|8|なし|降伏か死か…|25(150)|
|1451|[[黄金聖闘士・蠍座のミロ>モンスター図鑑/1451]]	|4|攻撃|BGCOLOR(#f1bba6):火光|18|炎の呪い|スカーレットニードル!!|70(300)|
|1452|[[黄金聖闘士・シュラ>モンスター図鑑/1452]]	|3|攻撃|BGCOLOR(#bbf1a6):木|8|なし|後悔するぞ小僧!!|25(150)|
|1453|[[黄金聖闘士・山羊座のシュラ>モンスター図鑑/1453]]	|4|攻撃|BGCOLOR(#bbf1a6):木光|18|樹の呪い|エクスカリバー!!|70(300)|
|1454|[[黄金聖闘士・カミュ>モンスター図鑑/1454]]	|3|バランス|BGCOLOR(#a6f1f1):水|8|なし|安らかに眠るのだ|25(150)|
|1455|[[黄金聖闘士・水瓶座のカミュ>モンスター図鑑/1455]]	|4|バランス|BGCOLOR(#a6f1f1):水光|18|ダブル攻撃態勢・水|Aエクスキューション!!|70(300)|
|1456|[[黄金聖闘士・アフロディーテ>モンスター図鑑/1456]]	|3|回復|BGCOLOR(#a6f1f1):水|8|なし|フッ笑止な！|25(150)|
|1457|[[黄金聖闘士・魚座のアフロディーテ>モンスター図鑑/1457]]	|4|回復|BGCOLOR(#a6f1f1):水光|18|ドロップ強化・水|ブラッディローズ!!|70(300)|
|1458|[[五天の神秘龍・フォークロア>モンスター図鑑/1458]]	|7|ドラゴン/悪魔|BGCOLOR(#a6f1f1):水火|35|超古代の英知|伝承の神秘|99(400)|
|1459|[[五晶の神秘龍・コトダマ>モンスター図鑑/1459]]	|7|ドラゴン/神|BGCOLOR(#f1f1a6):光闇|35|超古代の英知|霊言の神秘|99(400)|
|1460|[[ノア>モンスター図鑑/1460]]	|6|神/体力|BGCOLOR(#a6f1f1):水|20|蒼茫の来光|神木の聖護|50(400)|
|1461|[[覚醒ノア>モンスター図鑑/1461]]	|7|神/体力|BGCOLOR(#a6f1f1):水光|30|蒼茫の来光|神木の聖護|99(400)|
|1462|[[ソティス>モンスター図鑑/1462]]	|6|神|BGCOLOR(#f1f1a6):光|40|シリウスの輝き|星震の因果律|50(500)|
|1463|[[覚醒ソティス>モンスター図鑑/1463]]	|7|神|BGCOLOR(#f1f1a6):光闇|60|シリウスの輝き|星震の因果律|99(500)|
|1464|[[トト>モンスター図鑑/1464]]	|6|神|BGCOLOR(#bba6f1):闇|40|ヒエログリフの刻印|神の一手|50(500)|
|1465|[[覚醒トト>モンスター図鑑/1465]]	|7|神|BGCOLOR(#bba6f1):闇光|60|ヒエログリフの刻印|神の一手|99(500)|
|1466|[[ラーたまドラ>モンスター図鑑/1466]]	|5|神|BGCOLOR(#f1f1a6):光|10|ソーラーレーザー|たいようのいこう|99(400)|
|1467|[[?>モンスター図鑑/1467]]	||||||||
|1468|[[ツクヨミたまドラ>モンスター図鑑/1468]]	|5|神|BGCOLOR(#bba6f1):闇|10|チェンジ・ザ・ワールド|かみのいって|99(400)|
|1469|[[神輝の代行者・メタトロンたまドラ>モンスター図鑑/1469]]	|6|神/回復|BGCOLOR(#f1f1a6):光光|10|クイックキュアー|だいこうしゃのせいせん|99(400)|
|1470|[[?>モンスター図鑑/1470]]	||||||||
|1471|[[迅龍帝・スリーディア>モンスター図鑑/1471]]	|5|ドラゴン|BGCOLOR(#bbf1a6):木|40|ブローニングシフト|雷嵐の龍帝力|50(500)|
|1472|[[嵐翼の迅龍帝・スリーディア>モンスター図鑑/1472]]	|6|ドラゴン/バランス|BGCOLOR(#bbf1a6):木光|50|ブローニングシフト|雷嵐の龍帝力|99(500)|
|1473|[[不倒の海賊龍王・ゼローグ>モンスター図鑑/1473]]	|8|ドラゴン/悪魔|BGCOLOR(#a6f1f1):水闇|60|海賊龍の王威|海賊龍王の逆鱗|99(500)|
|1474|[[ヤタガラス>モンスター図鑑/1474]]	|3|強化用|BGCOLOR(#f1f1a6):光|8|完治の光|なし|1|
|1475|[[サーティワン・たまドラ>モンスター図鑑/1475]]	|4|覚醒用|BGCOLOR(#f1f1a6):光|31|ダブル防御態勢・光|スモールダブルたまぁ|1|
|1476|[[バットマン＋BWステルス>モンスター図鑑/1476]]	|7|バランス/悪魔|BGCOLOR(#bba6f1):闇水|35|バットウィング|スーパーソニック|99(400)|
|1477|[[スサノオ王子>モンスター図鑑/1477]]	|3|攻撃|BGCOLOR(#bbf1a6):木|10|なし|スピード達急動|25(150)|
|1478|[[ミコト爆神>モンスター図鑑/1478]]	|4|攻撃/神|BGCOLOR(#bbf1a6):木火|15|ダブル防御態勢・木|爆装化開始！|70(300)|
|1479|[[スーパーハーデス>モンスター図鑑/1479]]	|4|悪魔|BGCOLOR(#bba6f1):闇|15|ブラック戒律発動|究極暗黒神への野望|50(150)|
|1480|[[スーパー冥界ハーデス>モンスター図鑑/1480]]	|5|悪魔|BGCOLOR(#bba6f1):闇闇|25|ブラック戒律発動|究極暗黒神への野望|99(400)|
|1481|[[十字架サクヤ>モンスター図鑑/1481]]	|3|神|BGCOLOR(#f1f1a6):光|7|なし|なし|25(150)|
|1482|[[クロスサクヤ>モンスター図鑑/1482]]	|4|神|BGCOLOR(#f1f1a6):光火|12|守護魔法・光|黄金クロス砲|70(300)|
|1483|[[ギガ満助>モンスター図鑑/1483]]	|3|体力|BGCOLOR(#f1bba6):火|7|なし|なし|25(150)|
|1484|[[忍ギガ満>モンスター図鑑/1484]]	|4|体力|BGCOLOR(#f1bba6):火火|12|守護魔法・火|闘魂注入|70(300)|
|1485|[[魔人ヴァンパイア>モンスター図鑑/1485]]	|3|バランス|BGCOLOR(#bba6f1):闇|7|なし|なし|25(150)|
|1486|[[ヴァンＰ魔>モンスター図鑑/1486]]	|4|バランス/悪魔|BGCOLOR(#bba6f1):闇水|12|守護魔法・闇|超魔眼力|70(300)|
|1487|[[ヘッドロココ>モンスター図鑑/1487]]	|5|神|BGCOLOR(#f1bba6):火|13|尖聖剣|聖神パシー受身|50(400)|
|1488|[[エキドナロココ>モンスター図鑑/1488]]	|6|神/回復|BGCOLOR(#f1bba6):火光|23|尖聖剣|聖神パシー受身|99(400)|
|1489|[[シャーマンカーン>モンスター図鑑/1489]]	|4|神|BGCOLOR(#f1f1a6):光|10|理力パワー増大|カーンアイ|50(300)|
|1490|[[シャーマンラーン>モンスター図鑑/1490]]	|5|神|BGCOLOR(#f1f1a6):光光|20|理力パワー増大|ラーンアイ|99(300)|
|1491|[[魔肖ネロ>モンスター図鑑/1491]]	|4|悪魔|BGCOLOR(#bba6f1):闇|10|ネロフェイス|魔性般若パワー|50(300)|
|1492|[[魔肖ピエドラ>モンスター図鑑/1492]]	|5|悪魔/ドラゴン|BGCOLOR(#bba6f1):闇闇|20|ネロフェイス|魔性般若パワー|99(300)|
|1493|[[サタンマリア>モンスター図鑑/1493]]	|4|悪魔|BGCOLOR(#bba6f1):闇|10|超悪魔の魔炎|マリアアイ|50(300)|
|1494|[[ヘラマリア>モンスター図鑑/1494]]	|5|悪魔/神|BGCOLOR(#bba6f1):闇火|20|超悪魔の魔炎|マリアアイ|99(300)|
|1495|[[スーパーゼウス>モンスター図鑑/1495]]	|5|神|BGCOLOR(#f1f1a6):光|13|ヒレフセーッ！|超聖神の力|50(400)|
|1496|[[スーパー覚醒ゼウス>モンスター図鑑/1496]]	|6|神|BGCOLOR(#f1f1a6):光光|23|ヒレフセーッ！|超聖神の力|99(400)|
|1497|[[ブラックゼウス>モンスター図鑑/1497]]	|4|悪魔|BGCOLOR(#bbf1a6):木|10|木星創世|破壊光線虹光波|50(300)|
|1498|[[覚醒ブラック・ディオス>モンスター図鑑/1498]]	|5|悪魔/バランス|BGCOLOR(#bbf1a6):木闇|20|木星創世|破壊光線虹光波|99(300)|
|1499|[[ヘラクライスト>モンスター図鑑/1499]]	|5|体力|BGCOLOR(#bbf1a6):木|13|超遠距離撃破パワー砲|12天使の理力|50(400)|
|1500|[[覚醒ヘラクオーディン>モンスター図鑑/1500]]	|6|体力/神|BGCOLOR(#bbf1a6):木水|23|超遠距離撃破パワー砲|12天使の理力|99(400)|
|1501&aname(no1501);|[[ヤ魔モトＰ>モンスター図鑑/1501]]	|5|悪魔/体力|BGCOLOR(#f1f1a6):光闇|20|龍撃態勢・光|ビックリマン世代！|99(400)|
|1502|[[火の龍剣士>モンスター図鑑/1502]]	|4|ドラゴン|BGCOLOR(#f1bba6):火|9|龍撃態勢・火|火龍の片鱗|70(150)|
|1503|[[ファイアドラゴンナイト>モンスター図鑑/1503]]	|5|ドラゴン|BGCOLOR(#f1bba6):火火|14|龍撃態勢・火|火龍の紋章|99(300)|
|1504|[[水の龍剣士>モンスター図鑑/1504]]	|4|ドラゴン|BGCOLOR(#a6f1f1):水|9|龍撃態勢・水|水龍の片鱗|70(150)|
|1505|[[ウォータードラゴンナイト>モンスター図鑑/1505]]	|5|ドラゴン|BGCOLOR(#a6f1f1):水水|14|龍撃態勢・水|水龍の紋章|99(300)|
|1506|[[光の龍剣士>モンスター図鑑/1506]]	|4|ドラゴン|BGCOLOR(#f1f1a6):光|9|龍撃態勢・光|輝龍の片鱗|70(150)|
|1507|[[シャインドラゴンナイト>モンスター図鑑/1507]]	|5|ドラゴン|BGCOLOR(#f1f1a6):光光|14|龍撃態勢・光|輝龍の紋章|99(300)|
|1508|[[超絶キングゴールドネッキー>モンスター図鑑/1508]]	|7|強化用|BGCOLOR(#f1f1a6):光闇|30|ファミ通Appの祝福|ファミ通Appの御守|1|
|1509|[[メフィストフェレス>モンスター図鑑/1509]]	|6|悪魔|BGCOLOR(#f1f1a6):光|40|ソウルドレイン|悪魔のかけひき|50(500)|
|1510|[[覚醒メフィストフェレス>モンスター図鑑/1510]]	|7|悪魔/攻撃|BGCOLOR(#f1f1a6):光闇|60|ソウルドレイン|悪魔のかけひき|99(500)|
|1511|[[燎火の天狐・ミツキ>モンスター図鑑/1511]]	|7|回復/攻撃|BGCOLOR(#f1bba6):火火|25|ダブル防御態勢・火|星の恵み|99(300)|
|1512|[[絶海の才女・ルカ>モンスター図鑑/1512]]	|7|回復/攻撃|BGCOLOR(#a6f1f1):水水|25|ダブル防御態勢・水|星の恵み|99(300)|
|1513|[[祭祀の神子・カノ>モンスター図鑑/1513]]	|7|回復/攻撃|BGCOLOR(#bbf1a6):木木|25|ダブル防御態勢・木|星の恵み|99(300)|
|1514|[[遊牧の舞姫・フウ>モンスター図鑑/1514]]	|7|回復/攻撃|BGCOLOR(#f1f1a6):光光|25|ダブル防御態勢・光|星の恵み|99(300)|
|1515|[[幽幻の猫又・クロネ>モンスター図鑑/1515]]	|7|回復/攻撃|BGCOLOR(#bba6f1):闇闇|25|ダブル防御態勢・闇|星の恵み|99(300)|
|1516|[[爽乙女・プリンセスヴァルキリー>モンスター図鑑/1516]]	|6|回復|BGCOLOR(#bbf1a6):木|30|攻撃態勢・木|ヴァルキリーソウル|99(400)|
|1517|[[茨戒爽姫・グレイスヴァルキリー>モンスター図鑑/1517]]	|7|回復|BGCOLOR(#bbf1a6):木闇|35|攻撃態勢・木|ヴァルキリーブレイヴァー|99(400)|
|1518|[[楽園の管理者・メタトロン>モンスター図鑑/1518]]	|7|神/回復|BGCOLOR(#a6f1f1):水光|60|クイックキュアー|神界の涼風|99(500)|
|1519|[[よりしろ>モンスター図鑑/1519]]	|1|強化用|BGCOLOR(#f1f1a6):光|1|ライトニングハウル|なし|1|
|1520|[[めたぼん>モンスター図鑑/1520]]	|3|強化用|BGCOLOR(#bba6f1):闇|1|ブラッドハウル|なし|1|
|1521|[[ロイヤルグリーンホーク>モンスター図鑑/1521]]	|3|強化用|BGCOLOR(#bbf1a6):木|1|不撓不屈の信義|なし|1|
|1522|[[ピコスケ>モンスター図鑑/1522]]	|3|体力|BGCOLOR(#f1bba6):火|6|なし|火の力|25(150)|
|1523|[[炎騎士アレイオーン>モンスター図鑑/1523]]	|4|体力|BGCOLOR(#f1bba6):火|10|ミラージュフレア|スーパーアーマー|70(200)|
|1524|[[義信龍・ヨロク>モンスター図鑑/1524]]	|6|ドラゴン|BGCOLOR(#f1f1a6):光|20|仁愛の後光|義信の龍紋|50(400)|
|1525|[[義愛の知将龍・カネツグ>モンスター図鑑/1525]]	|7|ドラゴン/攻撃|BGCOLOR(#f1f1a6):光光|35|仁愛の後光|義愛の龍紋|99(400)|
|1526|[[火の上忍>モンスター図鑑/1526]]	|4|バランス/悪魔|BGCOLOR(#f1bba6):火|12|龍撃態勢・火|強化忍術・仁|99(150)|
|1527|[[水の上忍>モンスター図鑑/1527]]	|4|回復/悪魔|BGCOLOR(#a6f1f1):水|12|守護魔法・水|強化忍術・義|99(150)|
|1528|[[木の上忍>モンスター図鑑/1528]]	|4|バランス/悪魔|BGCOLOR(#bbf1a6):木|12|守護魔法・木|強化忍術・礼|99(150)|
|1529|[[光の上忍>モンスター図鑑/1529]]	|4|体力/悪魔|BGCOLOR(#f1f1a6):光|12|雷の呪い|強化忍術・智|99(150)|
|1530|[[闇の上忍>モンスター図鑑/1530]]	|4|攻撃/悪魔|BGCOLOR(#bba6f1):闇|12|明けの明星|強化忍術・信|99(150)|
|1531|[[ゼウス・マーキュリー>モンスター図鑑/1531]]	|6|神|BGCOLOR(#a6f1f1):水|45|マーキュリージェネシス|ウィズダム・オブ・ゼウス|50(500)|
|1532|[[覚醒ゼウス・マーキュリー>モンスター図鑑/1532]]	|7|神/攻撃|BGCOLOR(#a6f1f1):水光|60|マーキュリージェネシス|ウィズダム・オブ・ゼウス|99(500)|
|1533|[[覚醒ミネルヴァ>モンスター図鑑/1533]]	|7|ドラゴン/悪魔|BGCOLOR(#f1bba6):火火|30|獄天の焦熱|煉龍の神魔力|99(400)|
|1534|[[覚醒ネプチューン>モンスター図鑑/1534]]	|7|攻撃/悪魔|BGCOLOR(#a6f1f1):水水|30|ヘブンズシュトローム|極海の神魔力|99(400)|
|1535|[[覚醒セレス>モンスター図鑑/1535]]	|7|バランス/悪魔|BGCOLOR(#bbf1a6):木木|30|ソウルキュアー|霊樹の神魔力|99(400)|
|1536|[[覚醒ヘラ・ウルズ↑↑>モンスター図鑑/1536]]	|8|悪魔/神|BGCOLOR(#f1bba6):火火|70|ウルズ↑↑フィーバー☆|情熱☆ヘラチューン|99(500)|
|1537|[[レッドシードラ>モンスター図鑑/1537]]	|3|体力|BGCOLOR(#f1bba6):火|8|ストロベリーシャワー|ダメージガード・火|25(100)|
|1538|[[フレイムシールドナイト>モンスター図鑑/1538]]	|4|体力|BGCOLOR(#f1bba6):火|12|ストロベリーシャワー|リフレクシールド・火|70(150)|
|1539|[[ブルーシードラ>モンスター図鑑/1539]]	|3|体力|BGCOLOR(#a6f1f1):水|8|ブルーベリーシャワー|ダメージガード・水|25(100)|
|1540|[[アクアシールドナイト>モンスター図鑑/1540]]	|4|体力|BGCOLOR(#a6f1f1):水|12|ブルーベリーシャワー|リフレクシールド・水|70(150)|
|1541|[[グリーンシードラ>モンスター図鑑/1541]]	|3|体力|BGCOLOR(#bbf1a6):木|8|メロンシャワー|ダメージガード・木|25(100)|
|1542|[[ガイアシールドナイト>モンスター図鑑/1542]]	|4|体力|BGCOLOR(#bbf1a6):木|12|メロンシャワー|リフレクシールド・木|70(150)|
|1543|[[イエローシードラ>モンスター図鑑/1543]]	|3|体力|BGCOLOR(#f1f1a6):光|8|レモンシャワー|ダメージガード・光|25(100)|
|1544|[[ライトシールドナイト>モンスター図鑑/1544]]	|4|体力|BGCOLOR(#f1f1a6):光|12|レモンシャワー|リフレクシールド・光|70(150)|
|1545|[[パープルシードラ>モンスター図鑑/1545]]	|3|体力|BGCOLOR(#bba6f1):闇|8|グレープシャワー|ダメージガード・闇|25(100)|
|1546|[[シャドウシールドナイト>モンスター図鑑/1546]]	|4|体力|BGCOLOR(#bba6f1):闇|12|グレープシャワー|リフレクシールド・闇|70(150)|
|1547|[[ホノピィ>モンスター図鑑/1547]]	|7|強化用|BGCOLOR(#f1bba6):火|1|なし|スキルレベルアップ・火|1|
|1548|[[ミズピィ>モンスター図鑑/1548]]	|7|強化用|BGCOLOR(#a6f1f1):水|1|なし|スキルレベルアップ・水|1|
|1549|[[モクピィ>モンスター図鑑/1549]]	|7|強化用|BGCOLOR(#bbf1a6):木|1|なし|スキルレベルアップ・木|1|
|1550|[[ヒカピィ>モンスター図鑑/1550]]	|7|強化用|BGCOLOR(#f1f1a6):光|1|なし|スキルレベルアップ・光|1|
|1551|[[ヤミピィ>モンスター図鑑/1551]]	|7|強化用|BGCOLOR(#bba6f1):闇|1|なし|スキルレベルアップ・闇|1|
|1552|[[天滅の神魔王・ルシファー>モンスター図鑑/1552]]	|7|悪魔/バランス|BGCOLOR(#bba6f1):闇火|40|イビルノヴァ|神滅の勅命|99(400)|
|1553|[[創獄の神魔王・ルシファー>モンスター図鑑/1553]]	|7|悪魔/攻撃|BGCOLOR(#bba6f1):闇闇|40|イビルノヴァ|魔刻の黎明|99(400)|
|1554|[[太鼓神どんちゃん・極>モンスター図鑑/1554]]	|6|回復/神|BGCOLOR(#f1f1a6):光火|40|ドドンがドン！|ドンダフル！|99(400)|
|1555|[[八相龍神・ヤマタノオロチ>モンスター図鑑/1555]]	|7|神/ドラゴン|BGCOLOR(#a6f1f1):水火|30|威圧|八相龍の眼光|99(400)|
|1556|[[斬魔閃神・スサノオノミコト>モンスター図鑑/1556]]	|7|神/攻撃|BGCOLOR(#bbf1a6):木光|30|鉄壁の構え|破邪の神念|99(400)|
|1557|[[焔天舞神・アマテラスオオカミ>モンスター図鑑/1557]]	|7|神/攻撃|BGCOLOR(#f1f1a6):光火|30|完治の光|破魔の護聖陣|99(400)|
|1558|[[超サイヤ人3・孫 悟空>モンスター図鑑/1558]]	|7|体力/ドラゴン|BGCOLOR(#f1bba6):火光|34|かめはめ波|おめえをぶったおす!!!|99(400)|
|1559|[[アルティメット孫 悟飯>モンスター図鑑/1559]]	|7|バランス/ドラゴン|BGCOLOR(#a6f1f1):水光|34|超かめはめ波|もうゆるさないぞ|99(400)|
|1560|[[超サイヤ人・破壊王子ベジータ>モンスター図鑑/1560]]	|7|攻撃/ドラゴン|BGCOLOR(#bba6f1):闇光|34|ファイナルフラッシュ|なめるなよーっ!!!!|99(400)|
|1561|[[超サイヤ人第三段階・トランクス>モンスター図鑑/1561]]	|7|攻撃/ドラゴン|BGCOLOR(#a6f1f1):水光|34|必殺剣|くたばれ!!!!!|99(400)|
|1562|[[神・ピッコロ>モンスター図鑑/1562]]	|6|悪魔/神|BGCOLOR(#bbf1a6):木光|30|超爆裂魔破|まだまだこれからだ…！|99(350)|
|1563|[[人造人間16号>モンスター図鑑/1563]]	|4|体力/ドラゴン|BGCOLOR(#bbf1a6):木|10|ロケットパンチ|戦う時が来たのだ|50(350)|
|1564|[[人造人間16号・戦闘態勢>モンスター図鑑/1564]]	|5|体力/ドラゴン|BGCOLOR(#bbf1a6):木光|20|ロケットパンチ|戦う時が来たのだ|99(350)|
|1565|[[人造人間17号>モンスター図鑑/1565]]	|4|攻撃/ドラゴン|BGCOLOR(#f1bba6):火|10|エネルギーボール|さあ くるならこいよ|50(350)|
|1566|[[人造人間17号・戦闘態勢>モンスター図鑑/1566]]	|5|攻撃/ドラゴン|BGCOLOR(#f1bba6):火闇|20|エネルギーボール|さあ くるならこいよ|99(350)|
|1567|[[人造人間18号>モンスター図鑑/1567]]	|4|回復/ドラゴン|BGCOLOR(#a6f1f1):水|10|パワーブリッツ|そうこなくちゃ|50(350)|
|1568|[[人造人間18号・戦闘態勢>モンスター図鑑/1568]]	|5|回復/ドラゴン|BGCOLOR(#a6f1f1):水光|20|パワーブリッツ|そうこなくちゃ|99(350)|
|1569|[[セル・第1形態>モンスター図鑑/1569]]	|5|悪魔/ドラゴン|BGCOLOR(#bbf1a6):木|13|超級かめはめ波|わたしが吸収してやるぞ!!!|50(400)|
|1570|[[セル・第2形態>モンスター図鑑/1570]]	|6|悪魔/ドラゴン|BGCOLOR(#bbf1a6):木|18|超級かめはめ波|完全体になれさえすれば…|70(400)|
|1571|[[セル・完全体>モンスター図鑑/1571]]	|7|悪魔/ドラゴン|BGCOLOR(#bbf1a6):木闇|23|超級かめはめ波|地球ごと消えてなくなれ!!|99(400)|
|1572|[[プイプイ>モンスター図鑑/1572]]	|3|攻撃/ドラゴン|BGCOLOR(#bba6f1):闇|8|スナイプショット|本格的なバカだぜ！|50(250)|
|1573|[[ヤコン>モンスター図鑑/1573]]	|3|体力/ドラゴン|BGCOLOR(#bbf1a6):木|8|なし|いまのは最高の光だった…|25(150)|
|1574|[[宇宙の魔獣・ヤコン>モンスター図鑑/1574]]	|4|体力/ドラゴン|BGCOLOR(#bbf1a6):木|12|光吸収|いまのは最高の光だった…|70(300)|
|1575|[[ダーブラ>モンスター図鑑/1575]]	|3|悪魔/ドラゴン|BGCOLOR(#f1bba6):火|10|なし|身のほど知らずが…|35(150)|
|1576|[[暗黒魔界の王・ダーブラ>モンスター図鑑/1576]]	|4|悪魔/ドラゴン|BGCOLOR(#f1bba6):火闇|15|暗黒魔界の炎|身のほど知らずが…|99(400)|
|1577|[[バビディ>モンスター図鑑/1577]]	|3|回復/ドラゴン|BGCOLOR(#bbf1a6):木|8|なし|いいぞ魔人ブウ!!|25(150)|
|1578|[[魔導師バビディ>モンスター図鑑/1578]]	|4|回復/ドラゴン|BGCOLOR(#bbf1a6):木|12|バリアー|いいぞ魔人ブウ!!|70(300)|
|1579|[[魔人ブウ>モンスター図鑑/1579]]	|4|悪魔/ドラゴン|BGCOLOR(#f1bba6):火|10|なし|おまえもうおしまい|30(150)|
|1580|[[魔人ブウ・無邪気 VS 純粋悪>モンスター図鑑/1580]]	|5|悪魔/ドラゴン|BGCOLOR(#f1f1a6):光闇|20|お菓子光線|チョコにしてやるーっ!!!|50(200)|
|1581|[[魔人ブウ・邪悪>モンスター図鑑/1581]]	|6|悪魔/ドラゴン|BGCOLOR(#f1bba6):火闇|30|お菓子光線|オレとたたかうヤツだせ|70(300)|
|1582|[[魔人ブウ・純粋>モンスター図鑑/1582]]	|7|悪魔/ドラゴン|BGCOLOR(#f1bba6):火闇|40|お菓子光線|チッチッチ…|99(500)|
|1583|[[ミスター・サタン>モンスター図鑑/1583]]	|4|バランス/ドラゴン|BGCOLOR(#f1bba6):火|10|ダイナマイトキック|いただきいただきーっ!!!|50(300)|
