* 進化合成 [#ze6474f1]

#style(class=panelNote){{
このページは編集者不足による更新停止中です。
//ちなみに編集は誰でも行うことが可能です･･･。
}}

- 一部モンスターはLv最大になると進化が可能になる
- 進化するためにはそれぞれ決められた素材モンスターが必要
-- 「爆炎龍ティラノス」に進化するのに必要なモンスターは「ティラノス」の欄を参照
-- 「なし」はこれ以上進化しないということ

//外部サイトのリンクは[[リンク]]へ

&color(,#eee){ページ内リンク};
[[001>#no001]] - [[101>#no101]] - [[201>#no201]] - [[301>#no301]] - [[401>#no401]] - [[501>#no501]] - [[601>#no601]] - [[701>#no701]] - [[801>#no801]] - [[901>#no901]] - [[1001>#no1001]] - [[1101>#no1101]] - [[1201>#no1201]] - [[1301>#no1301]] - [[1401>#no1401]] - [[1501>#no1501]] - [[1601>#no1601]] - [[1701>#no1701]] - [[1801>#no1801]] - [[1901>#no1901]] - [[2001>#no2001]] - [[2101>#no2101]] - [[2201>#no2201]] - [[2301>#no2301]]

#style(class=enableFilter){{
|~No|~ベースモンスター		|~進化に必要なモンスター|~進化結果|
|1338|[[ドゥルガー>モンスター図鑑/1338]]	|&mons151; &mons151; &mons175; &mons160; &mons250;|[[魔討の女神・ドゥルガー>モンスター図鑑/1339]]|
|1339|[[魔討の女神・ドゥルガー>モンスター図鑑/1339]]	|[[究極進化]]||
|1340|[[?>モンスター図鑑/1340]]	|||
|1341|[[?>モンスター図鑑/1341]]	|||
|1342|[[星輝の黄龍帝・ファガン>モンスター図鑑/1342]]	|なし||
|1343|[[絶冥の黄龍神・ファガン>モンスター図鑑/1343]]	|なし||
|1344|[[龍剣の勝利神・フレイ>モンスター図鑑/1344]]	|なし||
|1345|[[永久の双星神・イズン＆イズーナ>モンスター図鑑/1345]]	|なし||
|1346|[[煌樹の豊麗神・フレイヤ>モンスター図鑑/1346]]	|なし||
|1347|[[奪還の雷戦神・トール>モンスター図鑑/1347]]	|なし||
|1348|[[暗躍の狡知神・ロキ>モンスター図鑑/1348]]	|なし||
|1349|[[エクサ・ヒドラ>モンスター図鑑/1349]]	|&mons171; &mons171; &mons154; &mons160; &mons246;|[[ゼータ・ヒドラ>モンスター図鑑/1350]]|
|1350|[[ゼータ・ヒドラ>モンスター図鑑/1350]]	|なし||
|1351|[[ウッドバーン>モンスター図鑑/1351]]	|&mons149; &mons173; &mons154; &mons160; &mons248;|[[フォレストバーン>モンスター図鑑/1352]]|
|1352|[[フォレストバーン>モンスター図鑑/1352]]	|なし||
|1353|[[雷龍・キリサメ>モンスター図鑑/1353]]	|&mons150; &mons174; &mons154; &mons160; &mons249;|[[幻雷龍・サギリノカミ>モンスター図鑑/1354]]|
|1354|[[幻雷龍・サギリノカミ>モンスター図鑑/1354]]	|なし||
|1355|[[アニマ>モンスター図鑑/1355]]	|&mons147; &mons171; &mons154; &mons160; &mons246;|[[幻影龍・アニマ>モンスター図鑑/1356]]|
|1356|[[幻影龍・アニマ>モンスター図鑑/1356]]	|なし||
|1357|[[カースドラゴン>モンスター図鑑/1357]]	|&mons151; &mons175; &mons154; &mons160; &mons250;|[[不死龍・カースドラゴン>モンスター図鑑/1358]]|
|1358|[[不死龍・カースドラゴン>モンスター図鑑/1358]]	|なし||
|1359|[[アポカリプス>モンスター図鑑/1359]]	|&mons150; &mons321; &mons227; &mons249; &mons251;|[[破壊龍・アポカリプス>モンスター図鑑/1360]]|
|1360|[[破壊龍・アポカリプス>モンスター図鑑/1360]]	|なし||
|1361|[[焔土の龍騎姫・卑弥呼>モンスター図鑑/1361]]	|なし||
|1362|[[秘海の龍騎姫・クレオパトラ>モンスター図鑑/1362]]	|なし||
|1363|[[天風の龍騎姫・イシュタル>モンスター図鑑/1363]]	|なし||
|1364|[[聖刻の龍騎姫・ジャンヌダルク>モンスター図鑑/1364]]	|なし||
|1365|[[月影の龍騎姫・ムーラン>モンスター図鑑/1365]]	|なし||
|1366|[[ファイロン>モンスター図鑑/1366]]	|なし||
|1367|[[ウォーロン>モンスター図鑑/1367]]	|なし||
|1368|[[ウィンロン>モンスター図鑑/1368]]	|なし||
|1369|[[シャイロン>モンスター図鑑/1369]]	|なし||
|1370|[[シャドロン>モンスター図鑑/1370]]	|なし||
|1371|[[獄羅苦狂魔皇・ベルゼブブ>モンスター図鑑/1371]]	|なし||
|1372|[[臥龍神・諸葛亮>モンスター図鑑/1372]]	|&mons149; &mons227; &mons248; &mons250; &mons251;|[[俊才の臥龍神・諸葛亮>モンスター図鑑/1373]]|
|1373|[[俊才の臥龍神・諸葛亮>モンスター図鑑/1373]]	|なし||
|1374|[[命龍神・諸葛亮>モンスター図鑑/1374]]	|&mons150; &mons227; &mons247; &mons249; &mons251;|[[天星の命龍神・諸葛亮>モンスター図鑑/1375]]|
|1375|[[天星の命龍神・諸葛亮>モンスター図鑑/1375]]	|なし||
|1376|[[フリーザ・第1形態>モンスター図鑑/1376]]	|&mons151; &mons170; &mons154; &mons159;|[[フリーザ・第2形態>モンスター図鑑/1377]]|
|1377|[[フリーザ・第2形態>モンスター図鑑/1377]]	|&mons151; &mons175; &mons159; &mons160; &mons250;|[[フリーザ・第3形態>モンスター図鑑/1378]]|
|1378|[[フリーザ・第3形態>モンスター図鑑/1378]]	|&mons151; &mons321; &mons175; &mons250; &mons251;|[[フリーザ・最終形態>モンスター図鑑/1379]]|
|1379|[[フリーザ・最終形態>モンスター図鑑/1379]]	|なし||
|1380|[[ザーボン>モンスター図鑑/1380]]	|&mons151; &mons170; &mons154; &mons160; &mons250;|[[フリーザの側近・ザーボン>モンスター図鑑/1381]]|
|1381|[[フリーザの側近・ザーボン>モンスター図鑑/1381]]	|なし||
|1382|[[リクーム>モンスター図鑑/1382]]	|&mons150; &mons164; &mons158;|[[ギニュー特戦隊・リクーム>モンスター図鑑/1383]]|
|1383|[[ギニュー特戦隊・リクーム>モンスター図鑑/1383]]	|なし||
|1384|[[バータ>モンスター図鑑/1384]]	|&mons148; &mons167; &mons156;|[[ギニュー特戦隊・バータ>モンスター図鑑/1385]]|
|1385|[[ギニュー特戦隊・バータ>モンスター図鑑/1385]]	|なし||
|1386|[[ジース>モンスター図鑑/1386]]	|&mons147; &mons166; &mons155;|[[ギニュー特戦隊・ジース>モンスター図鑑/1387]]|
|1387|[[ギニュー特戦隊・ジース>モンスター図鑑/1387]]	|なし||
|1388|[[グルド>モンスター図鑑/1388]]	|&mons149; &mons168; &mons157;|[[ギニュー特戦隊・グルド>モンスター図鑑/1389]]|
|1389|[[ギニュー特戦隊・グルド>モンスター図鑑/1389]]	|なし||
|1390|[[ギニュー>モンスター図鑑/1390]]	|&mons151; &mons170; &mons175; &mons159; &mons160;|[[ギニュー特戦隊・ギニュー>モンスター図鑑/1391]]|
|1391|[[ギニュー特戦隊・ギニュー>モンスター図鑑/1391]]	|なし||
|1392|[[サイバイマン>モンスター図鑑/1392]]	|なし||
|1393|[[カリン様>モンスター図鑑/1393]]	|なし||
|1394|[[孫 悟空>モンスター図鑑/1394]]	|&mons147; &mons150; &mons171; &mons249; &mons251;|[[超サイヤ人・孫 悟空>モンスター図鑑/1395]]|
|1395|[[超サイヤ人・孫 悟空>モンスター図鑑/1395]]	|[[究極進化]]||
|1396|[[孫 悟飯>モンスター図鑑/1396]]	|&mons148; &mons150; &mons247; &mons249; &mons251;|[[超サイヤ人・孫 悟飯>モンスター図鑑/1397]]|
|1397|[[超サイヤ人・孫 悟飯>モンスター図鑑/1397]]	|[[究極進化]]||
|1398|[[ベジータ>モンスター図鑑/1398]]	|&mons150; &mons151; &mons175; &mons249; &mons251;|[[超サイヤ人・ベジータ>モンスター図鑑/1399]]|
|1399|[[超サイヤ人・ベジータ>モンスター図鑑/1399]]	|[[究極進化]]||
|1400|[[トランクス>モンスター図鑑/1400]]	|&mons148; &mons150; &mons172; &mons249; &mons251;|[[超サイヤ人・トランクス>モンスター図鑑/1401]]|
|1401&aname(no1401);|[[超サイヤ人・トランクス>モンスター図鑑/1401]]	|[[究極進化]]||
|1402|[[ピッコロ>モンスター図鑑/1402]]	|&mons149; &mons151; &mons173; &mons160; &mons248;|[[ナメック戦士・ピッコロ>モンスター図鑑/1403]]|
|1403|[[ナメック戦士・ピッコロ>モンスター図鑑/1403]]	|[[究極進化]]||
|1404|[[クリリン>モンスター図鑑/1404]]	|&mons150; &mons169; &mons174; &mons158; &mons160;|[[地球戦士・クリリン>モンスター図鑑/1405]]|
|1405|[[地球戦士・クリリン>モンスター図鑑/1405]]	|なし||
|1406|[[ヤムチャ>モンスター図鑑/1406]]	|&mons147; &mons166; &mons171; &mons155; &mons160;|[[地球戦士・ヤムチャ>モンスター図鑑/1407]]|
|1407|[[地球戦士・ヤムチャ>モンスター図鑑/1407]]	|なし||
|1408|[[天津飯>モンスター図鑑/1408]]	|&mons149; &mons168; &mons173; &mons157; &mons160;|[[地球戦士・天津飯>モンスター図鑑/1409]]|
|1409|[[地球戦士・天津飯>モンスター図鑑/1409]]	|なし||
|1410|[[餃子>モンスター図鑑/1410]]	|&mons151; &mons170; &mons175; &mons159; &mons160;|[[地球戦士・餃子>モンスター図鑑/1411]]|
|1411|[[地球戦士・餃子>モンスター図鑑/1411]]	|なし||
|1412|[[赤ずきん>モンスター図鑑/1412]]	|&mons161; &mons154; &mons155; &mons155; &mons160;|[[森の元気娘・赤ずきん>モンスター図鑑/1413]]|
|1413|[[森の元気娘・赤ずきん>モンスター図鑑/1413]]	|なし||
|1414|[[白雪姫>モンスター図鑑/1414]]	|&mons162; &mons154; &mons156; &mons156; &mons160;|[[小人の王女・白雪姫>モンスター図鑑/1415]]|
|1415|[[小人の王女・白雪姫>モンスター図鑑/1415]]	|なし||
|1416|[[おやゆび姫>モンスター図鑑/1416]]	|&mons163; &mons154; &mons157; &mons157; &mons160;|[[四つ葉の王女・おやゆび姫>モンスター図鑑/1417]]|
|1417|[[四つ葉の王女・おやゆび姫>モンスター図鑑/1417]]	|なし||
|1418|[[シンデレラ>モンスター図鑑/1418]]	|&mons164; &mons154; &mons158; &mons158; &mons160;|[[白馬車の姫君・シンデレラ>モンスター図鑑/1419]]|
|1419|[[白馬車の姫君・シンデレラ>モンスター図鑑/1419]]	|なし||
|1420|[[ねむり姫>モンスター図鑑/1420]]	|&mons165; &mons154; &mons159; &mons159; &mons160;|[[イバラの王女・ねむり姫>モンスター図鑑/1421]]|
|1421|[[イバラの王女・ねむり姫>モンスター図鑑/1421]]	|なし||
|1422|[[聖都の守護神・アテナ>モンスター図鑑/1422]]	|なし||
|1423|[[光槍の魔術神・オーディン>モンスター図鑑/1423]]	|なし||
|1424|[[張飛>モンスター図鑑/1424]]	|&mons147; &mons149; &mons166; &mons168; &mons160;|[[決死の燕将軍・張飛>モンスター図鑑/1425]]|
|1425|[[決死の燕将軍・張飛>モンスター図鑑/1425]]	|なし||
|1426|[[青銅聖闘士・星矢>モンスター図鑑/1426]]	|&mons150; &mons174; &mons158; &mons158; &mons160;|[[青銅聖闘士・天馬星座の星矢>モンスター図鑑/1427]]|
|1427|[[青銅聖闘士・天馬星座の星矢>モンスター図鑑/1427]]	|なし||
|1428|[[青銅聖闘士・氷河>モンスター図鑑/1428]]	|&mons148; &mons172; &mons156; &mons156; &mons160;|[[青銅聖闘士・白鳥星座の氷河>モンスター図鑑/1429]]|
|1429|[[青銅聖闘士・白鳥星座の氷河>モンスター図鑑/1429]]	|[[究極進化]]||
|1430|[[青銅聖闘士・紫龍>モンスター図鑑/1430]]	|&mons149; &mons173; &mons154; &mons157; &mons160;|[[青銅聖闘士・龍星座の紫龍>モンスター図鑑/1431]]|
|1431|[[青銅聖闘士・龍星座の紫龍>モンスター図鑑/1431]]	|[[究極進化]]||
|1432|[[青銅聖闘士・瞬>モンスター図鑑/1432]]	|&mons147; &mons171; &mons155; &mons155; &mons160;|[[青銅聖闘士・アンドロメダ星座の瞬>モンスター図鑑/1433]]|
|1433|[[青銅聖闘士・アンドロメダ星座の瞬>モンスター図鑑/1433]]	|なし||
|1434|[[青銅聖闘士・一輝>モンスター図鑑/1434]]	|&mons147; &mons321; &mons175; &mons246; &mons251;|[[青銅聖闘士・鳳凰星座の一輝>モンスター図鑑/1435]]|
|1435|[[青銅聖闘士・鳳凰星座の一輝>モンスター図鑑/1435]]	|なし||
|1436|[[グラード財団令嬢・沙織>モンスター図鑑/1436]]	|&mons321; &mons234; &mons249; &mons249; &mons251;|[[アテナの化身・沙織>モンスター図鑑/1437]]|
|1437|[[アテナの化身・沙織>モンスター図鑑/1437]]	|[[究極進化]]||
|1438|[[黄金聖闘士・星矢>モンスター図鑑/1438]]	|&mons150; &mons321; &mons174; &mons249; &mons251;|[[黄金聖闘士・射手座の星矢>モンスター図鑑/1439]]|
|1439|[[黄金聖闘士・射手座の星矢>モンスター図鑑/1439]]	|[[究極進化]]||
|1440|[[黄金聖闘士・アルデバラン>モンスター図鑑/1440]]	|&mons147; &mons166; &mons158;|[[黄金聖闘士・牡牛座のアルデバラン>モンスター図鑑/1441]]|
|1441|[[黄金聖闘士・牡牛座のアルデバラン>モンスター図鑑/1441]]	|なし||
|1442|[[黄金聖闘士・サガ>モンスター図鑑/1442]]	|&mons321; &mons174; &mons175; &mons250; &mons251;|[[黄金聖闘士・双子座のサガ>モンスター図鑑/1443]]|
|1443|[[黄金聖闘士・双子座のサガ>モンスター図鑑/1443]]	|[[究極進化]]||
|1444|[[黄金聖闘士・デスマスク>モンスター図鑑/1444]]	|&mons165; &mons165; &mons158;|[[黄金聖闘士・蟹座のデスマスク>モンスター図鑑/1445]]|
|1445|[[黄金聖闘士・蟹座のデスマスク>モンスター図鑑/1445]]	|なし||
|1446|[[黄金聖闘士・アイオリア>モンスター図鑑/1446]]	|&mons169; &mons158; &mons158;|[[黄金聖闘士・獅子座のアイオリア>モンスター図鑑/1447]]|
|1447|[[黄金聖闘士・獅子座のアイオリア>モンスター図鑑/1447]]	|なし||
|1448|[[黄金聖闘士・シャカ>モンスター図鑑/1448]]	|&mons174; &mons158; &mons158;|[[黄金聖闘士・乙女座のシャカ>モンスター図鑑/1449]]|
|1449|[[黄金聖闘士・乙女座のシャカ>モンスター図鑑/1449]]	|なし||
|1450|[[黄金聖闘士・ミロ>モンスター図鑑/1450]]	|&mons147; &mons155; &mons158;|[[黄金聖闘士・蠍座のミロ>モンスター図鑑/1451]]|
|1451|[[黄金聖闘士・蠍座のミロ>モンスター図鑑/1451]]	|なし||
|1452|[[黄金聖闘士・シュラ>モンスター図鑑/1452]]	|&mons149; &mons168; &mons158;|[[黄金聖闘士・山羊座のシュラ>モンスター図鑑/1453]]|
|1453|[[黄金聖闘士・山羊座のシュラ>モンスター図鑑/1453]]	|なし||
|1454|[[黄金聖闘士・カミュ>モンスター図鑑/1454]]	|&mons148; &mons156; &mons158;|[[黄金聖闘士・水瓶座のカミュ>モンスター図鑑/1455]]|
|1455|[[黄金聖闘士・水瓶座のカミュ>モンスター図鑑/1455]]	|なし||
|1456|[[黄金聖闘士・アフロディーテ>モンスター図鑑/1456]]	|&mons148; &mons162; &mons158;|[[黄金聖闘士・魚座のアフロディーテ>モンスター図鑑/1457]]|
|1457|[[黄金聖闘士・魚座のアフロディーテ>モンスター図鑑/1457]]	|なし||
|1458|[[五天の神秘龍・フォークロア>モンスター図鑑/1458]]	|なし||
|1459|[[五晶の神秘龍・コトダマ>モンスター図鑑/1459]]	|なし||
|1460|[[ノア>モンスター図鑑/1460]]	|&mons148; &mons148; &mons247; &mons249; &mons251;|[[覚醒ノア>モンスター図鑑/1461]]|
|1461|[[覚醒ノア>モンスター図鑑/1461]]	|なし||
|1462|[[ソティス>モンスター図鑑/1462]]	|&mons150; &mons174; &mons249; &mons250; &mons251;|[[覚醒ソティス>モンスター図鑑/1463]]|
|1463|[[覚醒ソティス>モンスター図鑑/1463]]	|なし||
|1464|[[トト>モンスター図鑑/1464]]	|&mons151; &mons175; &mons249; &mons250; &mons251;|[[覚醒トト>モンスター図鑑/1465]]|
|1465|[[覚醒トト>モンスター図鑑/1465]]	|なし||
|1466|[[ラーたまドラ>モンスター図鑑/1466]]	|なし||
|1467|[[?>モンスター図鑑/1467]]	|||
|1468|[[ツクヨミたまドラ>モンスター図鑑/1468]]	|なし||
|1469|[[神輝の代行者・メタトロンたまドラ>モンスター図鑑/1469]]	|なし||
|1470|[[?>モンスター図鑑/1470]]	|||
|1471|[[迅龍帝・スリーディア>モンスター図鑑/1471]]	|&mons619; &mons154; &mons227; &mons249; &mons251;|[[嵐翼の迅龍帝・スリーディア>モンスター図鑑/1472]]|
|1472|[[嵐翼の迅龍帝・スリーディア>モンスター図鑑/1472]]	|なし||
|1473|[[不倒の海賊龍王・ゼローグ>モンスター図鑑/1473]]	|なし||
|1474|[[ヤタガラス>モンスター図鑑/1474]]	|なし||
|1475|[[サーティワン・たまドラ>モンスター図鑑/1475]]	|なし||
|1476|[[バットマン＋BWステルス>モンスター図鑑/1476]]	|なし||
|1477|[[スサノオ王子>モンスター図鑑/1477]]	|&mons149; &mons168; &mons155; &mons157;|[[ミコト爆神>モンスター図鑑/1478]]|
|1478|[[ミコト爆神>モンスター図鑑/1478]]	|なし||
|1479|[[スーパーハーデス>モンスター図鑑/1479]]	|&mons151; &mons175; &mons175; &mons250; &mons251;|[[スーパー冥界ハーデス>モンスター図鑑/1480]]|
|1480|[[スーパー冥界ハーデス>モンスター図鑑/1480]]	|なし||
|1481|[[十字架サクヤ>モンスター図鑑/1481]]	|&mons150; &mons164; &mons158;|[[クロスサクヤ>モンスター図鑑/1482]]|
|1482|[[クロスサクヤ>モンスター図鑑/1482]]	|なし||
|1483|[[ギガ満助>モンスター図鑑/1483]]	|&mons147; &mons161; &mons155;|[[忍ギガ満>モンスター図鑑/1484]]|
|1484|[[忍ギガ満>モンスター図鑑/1484]]	|なし||
|1485|[[魔人ヴァンパイア>モンスター図鑑/1485]]	|&mons151; &mons165; &mons159;|[[ヴァンＰ魔>モンスター図鑑/1486]]|
|1486|[[ヴァンＰ魔>モンスター図鑑/1486]]	|なし||
|1487|[[ヘッドロココ>モンスター図鑑/1487]]	|&mons147; &mons171; &mons246; &mons249; &mons251;|[[エキドナロココ>モンスター図鑑/1488]]|
|1488|[[エキドナロココ>モンスター図鑑/1488]]	|[[究極進化]]||
|1489|[[シャーマンカーン>モンスター図鑑/1489]]	|&mons150; &mons174; &mons158; &mons158; &mons160;|[[シャーマンラーン>モンスター図鑑/1490]]|
|1490|[[シャーマンラーン>モンスター図鑑/1490]]	|[[究極進化]]||
|1491|[[魔肖ネロ>モンスター図鑑/1491]]	|&mons151; &mons175; &mons159; &mons159; &mons160;|[[魔肖ピエドラ>モンスター図鑑/1492]]|
|1492|[[魔肖ピエドラ>モンスター図鑑/1492]]	|なし||
|1493|[[サタンマリア>モンスター図鑑/1493]]	|&mons151; &mons175; &mons155; &mons159; &mons160;|[[ヘラマリア>モンスター図鑑/1494]]|
|1494|[[ヘラマリア>モンスター図鑑/1494]]	|[[究極進化]]||
|1495|[[スーパーゼウス>モンスター図鑑/1495]]	|&mons150; &mons150; &mons234; &mons249; &mons251;|[[スーパー覚醒ゼウス>モンスター図鑑/1496]]|
|1496|[[スーパー覚醒ゼウス>モンスター図鑑/1496]]	|[[究極進化]]||
|1497|[[ブラックゼウス>モンスター図鑑/1497]]	|&mons149; &mons151; &mons173; &mons159; &mons160;|[[覚醒ブラック・ディオス>モンスター図鑑/1498]]|
