* リーダースキル [#e57a0767]

- リーダーと助っ人のモンスターのみ効果を発動する。
|サイン・オブ・ミーミル	|>|&color(#000,#a6f1f1){水};&br;[神]|水属性と神タイプのHPが1.5倍、攻撃力は2.5倍。水を4個以上つなげると攻撃力がほんの少し上昇。|魔槍の秘術神・オーディン((ver8.5で変更))|&aname(ls0365,full,super){ls1925};|
|&font2(80%){ばくえんしんのめいそう};爆炎神の瞑想		|>|&color(#000,#f1bba6){火};&br;[体力]|火属性と体力タイプの全パラメータが1.5倍。|宿業の破壊神・シヴァ|&aname(ls1112,full,super){ls1112};|
|&font2(80%){こううんしんのおんちょう};幸運神の恩寵		|>|&color(#000,#a6f1f1){水};&br;[回復]|水属性と回復タイプの全パラメータが1.5倍。|招福の天女神・ラクシュミー|&aname(ls1114,full,super){ls1114};|
|&font2(80%){せいじゅうしんのげきれい};聖獣神の激励		|>|&color(#000,#bbf1a6){木};&br;[バランス]|木属性とバランスタイプの全パラメータが1.5倍。|白火の舞女神・パールヴァティー|&aname(ls1116,full,super){ls1116};|
|>|>|>|>|>|BGCOLOR(#ffffff):【能力アップ（その他）】&aname(etcBuff);|
||CENTER:|CENTER:||||c
|プリンのたまご		|>||総回復力が半減するが、攻撃力が3.5倍。|ポムポムプリン&br;たまドラプリン&br;たまドラプリン☆アラモード|&aname(ls1162,full,super){ls1162};|
|&font2(80%){ぎにゅーとくせんたい!!!!};ギニュー特戦隊!!!!		|>||進化後のギニュー特戦隊がチームにそろっていると攻撃力が3.5倍。|ギニュー特戦隊・ギニュー|&aname(ls1391,full,super){ls1391};|
|&font2(80%){いいぞまじんぶう!!};いいぞ魔人ブウ!!		|>||[[魔人ブウ>モンスター図鑑/1579]]（初期形態）がチームにいると攻撃力が3倍。|バビディ&br;魔導師バビディ|&aname(ls1577,full,super){ls1577};|
|&font2(80%){みわくのそなた};魅惑のソナタ		|>||[[ムーンライトカーバンクル>モンスター図鑑/0210]]と[[アースライトカーバンクル>モンスター図鑑/0208]]が&br;チームにいると攻撃力が5倍。|アーミル&br;黒獣魔の子分・アーミル|&aname(ls2068,full,super){ls2068};|
|コシュまるドリーム		|>||[[夢見の魔神将・アスタロト>モンスター図鑑/1259]]がチームにいると&br;HPが2倍、攻撃力は2.5倍。|コシュまる|&aname(ls1628,full,super){ls1628};|
|コシュまるスピリット	|>||[[天真の魔神卿・アスタロト>モンスター図鑑/1260]]がチームにいると&br;HPが2倍、攻撃力は2.5倍。|姫護の魔公子・コシュまる|&aname(ls1629,full,super){ls1629};|
|&font2(80%){たいしょくせんのかいりき};大食仙の怪力		|>||[[大聖の金猿神・孫悟空>モンスター図鑑/1735]]と[[輝眼の龍僧・三蔵法師>モンスター図鑑/1246]]が&br;チームにいるとHPが2倍、攻撃力は3倍。|猪八戒&br;大食の妖仙・猪八戒|&aname(ls2183,full,super){ls2183};|
|&font2(80%){てんれいせんのごりょく};天霊仙の護力		|>||[[大聖の金猿神・孫悟空>モンスター図鑑/1735]]と[[冥眼の龍僧・三蔵法師>モンスター図鑑/1248]]が&br;チームにいると攻撃力が3倍、回復力は2倍。|沙悟浄&br;流砂の妖仙・沙悟浄|&aname(ls2181,full,super){ls2181};|
|&font2(80%){みちくさをたのしめ おおいにな};道草を楽しめ 大いにな	|>||[[ジャジャン拳・ゴン＝フリークス>モンスター図鑑/1010]]がチームにいると&br;攻撃力が4倍、回復力は1.5倍。|二ツ星ハンター・ジン＝フリークス|&aname(ls2232,full,super){ls2232};|
|&font2(80%){ゆうしょうのせいしん};勇将の誠心		|>||[[克己の龍英傑・劉備>モンスター図鑑/1743]]がチームにいると&br;HPと回復力が1.5倍、攻撃力は2.5倍。|趙雲((ver7.5で変更))|&aname(ls1710,full,super){ls1710};|
|&font2(80%){ゆうしょうのせんじん};勇将の先陣		|>||[[護誓の英帝神・劉備>モンスター図鑑/1742]]がチームにいると&br;HPと回復力が1.5倍、攻撃力は2.5倍。|龍威の勇将軍・趙雲((ver7.5で変更))|&aname(ls1711,full,super){ls1711};|
|&font2(80%){せいしんのとうし};誠心の闘志		|>||[[明徳の英傑神・ミニ劉備>モンスター図鑑/1816]]がチームにいると&br;HPと回復力が1.5倍、攻撃力は2.5倍。|ミニ趙雲&br;龍威の勇将軍・ミニ趙雲|&aname(ls1876,full,super){ls1876};|
|&font2(80%){こぶのだいしょう};鼓舞の代償		|>||スキル使用時、攻撃力が2.5倍。|戦華の精霊・マンドレイク|&aname(ls1918,full,super){ls1918};|
|マジックブースト		|>||スキル使用時、攻撃力が3倍。|火の魔法使い・ライラ&br;猛炎の魔道士・ライラ&br;水の魔法使い・シャロン&br;錬水の魔道士・シャロン&br;木の魔法使い・リーザ&br;神木の魔道士・リーザ&br;光の魔法使い・レイ＝シリウス&br;閃光の魔道士・レイ＝シリウス&br;闇の魔法使い・ディル＝シリウス&br;冥闇の魔道士・ディル＝シリウス|&aname(ls1614,full,super){ls1614};|
|&font2(80%){なかよしのわ};仲良しの輪		|>||スキル使用時、攻撃力が4倍。|女神ハローキティ&br;プリンセス・ヴァルキティ&br;プリンセス・ヴァルキティハート|&aname(ls1164,full,super){ls1164};|
|ウィズダム・オブ・ゼウス|>||スキル使用時、攻撃力と回復力が2.5倍。|ゼウス・マーキュリー&br;覚醒ゼウス・マーキュリー|&aname(ls1531,full,super){ls1531};|
|クライムハザード		|>||攻撃タイプのHPと攻撃力が1.5倍。&br;スキル使用時、攻撃力が3倍。|クラウド＆ハーディ＝デイトナ|&aname(ls2030,full,super){ls2030};|
|&font2(80%){ちょうきゅうぶしんはざん};超究武神覇斬	|>||攻撃とマシンタイプのHPが2倍、攻撃力は1.5倍。&br;スキル使用時、攻撃力が3倍。|クラウド＆フェンリル|&aname(ls2764,full,super){ls2764};|
|&font2(80%){このわたしがはかいする！！};このわたしが破壊する！！	|>||悪魔タイプのHPが2倍。&br;スキル使用時、攻撃力と回復力が2倍。|妖星乱舞・ケフカ|&aname(ls2059,full,super){ls2059};|
|タイニーエール		|>||HP満タン時、攻撃力が2倍。|ECO・ベイビータイニー&br;ECO・タイニー&br;ECO・タイニー・アルマ|&aname(ls0348,full,super){ls0348};|
|タイニーフラッシュ		|>||HP満タン時、攻撃力が3倍。|ECO・スーパータイニー・アルマ|&aname(ls1318,full,super){ls1318};|
|パワー・オブ・ゼウス	|>||HP満タン時、攻撃力が3倍。|ゼウス&br;覚醒ゼウス|&aname(ls0187,full,super){ls0187};|
|ソウル・オブ・ゼウス	|>||HP満タン時、攻撃力が3.5倍。|超覚醒ゼウス|&aname(ls0917,full,super){ls0917};|
|パワー・オブ・ディオス	|>||HP99％以下((ver5.3とver6.4でHP70%以下→HP80%以下→HP99%以下に修正))で、攻撃力が3.5倍((ver5.4で3倍→3.5倍に修正))。|ゼウス・ディオス&br;覚醒ゼウス・ディオス|&aname(ls0650,full,super){ls0650};|
|&font2(80%){はかいこうせんれいんぼーびーむうぇーぶ};破壊光線虹光波		|>||HP99％以下で、攻撃力が3倍。|ブラックゼウス&br;覚醒ブラック・ディオス|&aname(ls1497,full,super){ls1497};|
|&font2(80%){はかいこうせんぶらっくうぇーぶ};破壊光線暗黒波		|>||HP99％以下で、攻撃力が3.5倍。|暗黒覚醒ブラック・ディオス|&aname(ls2220,full,super){ls2220};|
|&font2(80%){わたしひとりでもたたかいます};わたしひとりでも戦います	|>||HP99％以下で、攻撃力が3.5倍。|グラード財団令嬢・沙織|&aname(ls1436,full,super){ls1436};|
|&font2(80%){わたしのほしのうんめいなのです};わたしの星の運命なのです	|>||HP99％以下で、攻撃力が3.5倍。|アテナの化身・沙織|&aname(ls1437,full,super){ls1437};|
|&font2(80%){これがあいです！};これが愛です！		|>||HP満タン時、攻撃力が3倍、&br;HP99％以下で、攻撃力が3.5倍。|アテナの使命・沙織|&aname(ls2124,full,super){ls2124};|
|ぐんまのやぼう		|>||HP30％以下で、攻撃力と回復力が2倍。|ぐんまけん&br;超・ぐんまけん|&aname(ls0439,full,super){ls0439};|
|&font2(80%){ひんしばーさく};瀕死バーサク		|>||HP30％以下で、攻撃力が3倍。|最強装備・バーサーカー|&aname(ls0450,full,super){ls0450};|
|&font2(80%){ぎゃくぎれ};逆ギレ			|>||HP30％以下で、攻撃力が3倍。|ロマンティック★キャシー|&aname(ls0663,full,super){ls0663};|
|&font2(80%){てんちのみえ};天地の見得		|>||HP20％以下で、攻撃力が5倍。|石川五右衛門&br;天下の大泥棒・石川五右衛門|&aname(ls0565,full,super){ls0565};|
|&font2(80%){なごやうち};名古屋撃ち		|>||HP10％以下で、攻撃力が5倍。|UFO&br;UFO Ver.2|&aname(ls0770,full,super){ls0770};|
|&font2(80%){でんしょうのしんぴ};伝承の神秘		|>||HP5％以下で、攻撃力が5倍。|五天の神秘龍・フォークロア|&aname(ls1458,full,super){ls1458};|
|&font2(80%){おきづけのうまみ};沖漬けの旨味		|>||HP50％以上で、攻撃力が2倍。|富山湾の神秘・ホタルイカ|&aname(ls0837,full,super){ls0837};|
|&font2(80%){しんそくのこうせい};神速の攻勢		|>||HP50％以上で、攻撃力が2.5倍。|魔神・バアル&br;閃剣の魔神将・バアル|&aname(ls0636,full,super){ls0636};|
|&font2(80%){ぜっけいかな、ぜっけいかな！};絶景かな、絶景かな！	|>||体力とドラゴンタイプの攻撃力が1.2倍。&br;HPが減少するほど攻撃力が上昇、最大5倍。((HP50％以下で2.5倍、HP20％以下で5倍))|天下御免の大泥棒・石川五右衛門|&aname(ls2006,full,super){ls2006};|
|&font2(80%){ないるのめぐみ};ナイルの恵み		|>||3属性以上同時攻撃で攻撃力が3倍((ver4.4で2.5倍→3倍に修正))。|イシス&br;聖海神・イシス|&aname(ls0492,full,super){ls0492};|
|ないるのめぐみ		|>||3属性以上同時攻撃で攻撃力が3倍。|聖海神・ミニいしす|&aname(ls2023,full,super){ls2023};|
|&font2(80%){ほくとしんけんはむてきだ!!};北斗神拳は無敵だ!!	|>||4属性以上同時攻撃で攻撃力が3.5倍。|ケンシロウ|&aname(ls1860,full,super){ls1860};|
|&font2(80%){えんじゅんのもうしゅう};炎隼の猛襲		|>||4属性以上同時攻撃で攻撃力が4倍((ver4.4で3倍→4倍に修正))。|ホルス&br;炎隼神・ホルス|&aname(ls0490,full,super){ls0490};|
|もうゆるさないぞ		|>||4属性以上同時攻撃で攻撃力が4倍。|孫 悟飯&br;超サイヤ人・孫 悟飯|&aname(ls1396,full,super){ls1396};|
|&font2(80%){&#12436;ぁるふぁーれしょうかん};ヴァルファーレ召喚		|>||4属性以上同時攻撃で攻撃力が4倍。|ユウナ|&aname(ls2043,full,super){ls2043};|
|カーンアイ	|>||5属性同時攻撃で攻撃力が5倍。|シャーマンカーン|&aname(ls1489,full,super){ls1489};|
|ラーンアイ		|>||5属性同時攻撃で攻撃力が5倍。|シャーマンラーン|&aname(ls1490,full,super){ls1490};|
|たいようのいこう		|>||5属性同時攻撃で攻撃力が5倍。|ラーたまドラ|&aname(ls1466,full,super){ls1466};|
|&font2(80%){たいようのいこう};太陽の威光		|>||5属性同時攻撃で攻撃力が6倍((ver4.4で5倍→6倍に修正))。|ラー&br;太陽神・ラー|&aname(ls0496,full,super){ls0496};|
|&font2(80%){たいようのめっこう};太陽の滅光		|>||5属性同時攻撃で攻撃力が7倍。|暗黒太陽神・ラー((ver7.5で変更))|&aname(ls0998,full,super){ls0998};|
|&font2(80%){ほくとひゃくれつけん};北斗百裂拳		|>||4属性以上同時攻撃で攻撃力が3.5倍。&br;攻撃タイプのHPと回復力が1.2倍。|北斗神拳・ケンシロウ|&aname(ls1861,full,super){ls1861};|
|&font2(80%){けいかいしょうりゅうりつ};継界召龍律		|>||5属性同時攻撃で攻撃力が4倍。&br;ドラゴンタイプの攻撃力と回復力が1.35倍。|龍喚士・ソニア＝グラン|&aname(ls1759,full,super){ls1759};|
|&font2(80%){ごげんりゅうせいげき};五源龍星撃		|>||5属性同時攻撃で攻撃力が4倍。&br;ドラゴンタイプの攻撃力と回復力が1.5倍。|始まりの龍喚士・ソニア＝グラン|&aname(ls1760,full,super){ls1760};|
|&font2(80%){ふぁらおのがんこう};ファラオの眼光		|>||5属性同時攻撃で攻撃力が5倍。&br;体力タイプの回復力が1.5倍。|スフィンクス&br;覚醒スフィンクス|&aname(ls2007,full,super){ls2007};|
|&font2(80%){ばはむーとしょうかん};バハムート召喚		|>||4属性以上同時攻撃で攻撃力が4倍。&br;6コンボ以上で攻撃力が1.25倍。|決意の召喚士・ユウナ|&aname(ls2044,full,super){ls2044};|
|&font2(80%){ないるのしんえん};ナイルの深淵		|>||3属性以上同時攻撃で攻撃力が3倍。 &br;スキル使用時、水属性の攻撃力が1.5倍。|覚醒イシス|&aname(ls2010,full,super){ls2010};|
|&font2(80%){たいようのちしお};太陽の血潮		|>||5属性同時攻撃で攻撃力が5倍。&br;スキル使用時、神と悪魔タイプの攻撃力が2倍。|覚醒ラー|&aname(ls2012,full,super){ls2012};|
|&font2(80%){てんしょうのぶそう};天昇の舞想		|>||4属性（3属性＋回復）以上同時攻撃で攻撃力が4倍。|大喬＆小喬&br;凛聖の双華神・大喬＆小喬&br;天禄の龍聖姫・大喬|&aname(ls1237,full,super){ls1237};|
|&font2(80%){てんしょうのそうぶ};天昇の奏舞		|>||4属性（3属性＋回復）以上同時攻撃で攻撃力が4倍。|ミニ大喬＆小喬&br;凛聖の双華神・ミニ大喬＆小喬|&aname(ls1817,full,super){ls1817};|
|&font2(80%){どらごんのおう};ドラゴンの王		|>||4属性（3属性＋回復）以上同時攻撃で攻撃力が4倍。|ボルメテウス・ホワイト・ドラゴン|&aname(ls2164,full,super){ls2164};|
|おめえをぶったおす!!!	|>||4属性（3属性＋回復）以上同時攻撃で攻撃力が4倍。|孫 悟空&br;超サイヤ人・孫 悟空|&aname(ls1394,full,super){ls1394};|
|&font2(80%){げっかひょうじん};月禍氷刃			|>||5属性（4属性＋回復）以上同時攻撃で攻撃力が4.5倍。|魔戦姫アスモディエス アナザー|&aname(ls1970,full,super){ls1970};|
|&font2(80%){せいてんのぶそう};星天の舞想		|>||4属性（3属性＋回復）以上同時攻撃で攻撃力が4倍。&br;回復タイプのHPが1.25倍((ver7.7で1.2倍→1.25倍に修正))。|天奏の聖華神・小喬|&aname(ls1745,full,super){ls1745};|
|&font2(80%){てんせいせしどらごんのおう};転生せしドラゴンの王	|>||4属性（3属性＋回復）以上同時攻撃で攻撃力が4倍。&br;ドラゴンタイプの攻撃力が1.25倍。|ボルメテウス・サファイア・ドラゴン|&aname(ls2165,full,super){ls2165};|
|&font2(80%){きぼうとしょうりのでんせつ};希望と勝利の伝説		|>||4属性（3属性＋回復）以上同時攻撃で攻撃力が4倍。&br;ドラゴンとマシン((ver8.0で追加))タイプのHPと攻撃力が1.3倍((ver8.0で1.25倍→1.3倍に修正))。|ボルメテウス・ブラック・ドラゴン|&aname(ls2166,full,super){ls2166};|
|&font2(80%){ださせてくれよ…ほんきを};出させてくれよ…本気を	|>||4属性（3属性＋回復）以上同時攻撃で攻撃力が4倍。&br;ドラゴンタイプの攻撃力と回復力が1.25倍。|最強戦士・超ベジット((ver7.7で効果変更（名称は同じ）))|&aname(ls1937,full,super){ls1937};|
|クワトロチャージャー	|>||4属性（3属性＋回復）以上同時攻撃で攻撃力が4倍。&br;マシンタイプの攻撃力と回復力が1.25倍。|光の機神将・シェロスパーダ|&aname(ls2127,full,super){ls2127};|
|クワトロジェネレーター	|>||4属性（3属性＋回復）以上同時攻撃で攻撃力が4倍。&br;マシンタイプのHPと攻撃力が1.25倍。|闇の機神将・ハイスフェルゼン|&aname(ls2128,full,super){ls2128};|
|&font2(80%){ちわくちわく♪};血湧く血湧く♪		|>||5属性（4属性＋回復）以上同時攻撃で攻撃力が4.5倍。&br;バランスタイプのHPと攻撃力が1.25倍。((ver8.1で追加))|ネテロ&br;百式観音・ネテロ|&aname(ls1023,full,super){ls1023};|
|&font2(80%){きょうかすいげつ};狂禍水月			|>||5属性（4属性＋回復）以上同時攻撃で攻撃力が4.5倍。&br;悪魔タイプのHPが1.35倍。|幻魔王アスモ・デウス アナザー|&aname(ls1971,full,super){ls1971};|
|&font2(80%){いばらのはごろも};荊棘の羽衣		|>||5属性（4属性＋回復）以上同時攻撃で攻撃力が4.5倍。&br;悪魔タイプのHPと回復力が1.35倍。|純血の魔王アスモ・デウス アナザー|&aname(ls2249,full,super){ls2249};|
